Year,Season,Day,CropsSold,CropRevenue,LivestockRevenue,Expenses,TotalRevenue,NetProfit
1,Spring,1,16,3056,225,464,3281,2817
1,Spring,2,34,4182,401,272,4583,4311
1,Spring,3,48,7392,422,423,7814,7391
1,Spring,4,8,1592,290,386,1882,1496
1,Spring,5,2,274,511,65,785,720
1,Spring,6,19,1463,643,89,2106,2017
1,Spring,7,0,0,325,79,325,246
1,Spring,8,3,600,453,149,1053,904
1,Spring,9,28,2464,230,69,2694,2625
1,Spring,10,5,820,490,71,1310,1239
1,Spring,11,3,186,360,307,546,239
1,Spring,12,10,1520,552,200,2072,1872
1,Spring,13,7,798,756,462,1554,1092
1,Spring,14,34,6426,176,195,6602,6407
1,Spring,15,25,2725,878,90,3603,3513
1,Spring,16,42,4830,908,158,5738,5580
1,Spring,17,21,2541,782,394,3323,2929
1,Spring,18,35,4270,319,349,4589,4240
1,Spring,19,11,1023,548,439,1571,1132
1,Spring,20,27,1458,726,329,2184,1855
1,Spring,21,42,4200,301,213,4501,4288
1,Spring,22,46,6578,103,440,6681,6241
1,Spring,23,2,116,460,102,576,474
1,Spring,24,8,1504,259,419,1763,1344
1,Spring,25,12,2016,834,85,2850,2765
1,Spring,26,46,6716,788,296,7504,7208
1,Spring,27,10,1260,181,436,1441,1005
1,Spring,28,50,7800,988,330,8788,8458
1,Summer,1,27,1944,108,291,2052,1761
1,Summer,2,15,1110,567,287,1677,1390
1,Summer,3,47,3525,256,154,3781,3627
1,Summer,4,31,5859,414,398,6273,5875
1,Summer,5,42,5922,649,394,6571,6177
1,Summer,6,31,2852,664,470,3516,3046
1,Summer,7,47,8178,470,184,8648,8464
1,Summer,8,22,1694,970,487,2664,2177
1,Summer,9,47,7238,813,155,8051,7896
1,Summer,10,3,588,365,149,953,804
1,Summer,11,9,1188,662,336,1850,1514
1,Summer,12,50,2550,499,487,3049,2562
1,Summer,13,43,2709,990,161,3699,3538
1,Summer,14,4,560,790,212,1350,1138
1,Summer,15,9,675,177,473,852,379
1,Summer,16,38,5092,177,358,5269,4911
1,Summer,17,48,4272,833,303,5105,4802
1,Summer,18,22,2640,333,466,2973,2507
1,Summer,19,26,2964,682,372,3646,3274
1,Summer,20,42,3822,886,148,4708,4560
1,Summer,21,29,3915,869,427,4784,4357
1,Summer,22,22,4070,354,103,4424,4321
1,Summer,23,5,530,748,441,1278,837
1,Summer,24,44,4180,993,146,5173,5027
1,Summer,25,14,2352,241,103,2593,2490
1,Summer,26,45,6390,1000,446,7390,6944
1,Summer,27,13,1664,157,122,1821,1699
1,Summer,28,38,5738,863,180,6601,6421
1,Fall,1,6,1044,595,183,1639,1456
1,Fall,2,37,6290,821,449,7111,6662
1,Fall,3,25,4925,797,209,5722,5513
1,Fall,4,2,118,525,302,643,341
1,Fall,5,46,5474,792,497,6266,5769
1,Fall,6,30,2880,928,405,3808,3403
